ABATACEPT	3400926884376
ATENOLOL	3400937303026;3400935934437;3400937227452;3400935575654;3400937316781;3400935136398;3400937317733;3400935539236;3400935686695;3400932187683;3400935742100;3400921687262;3400937391191;3400935575135;3400935644183;3400936742949;3400937142724;3400935686527;3400937142953;3400937287364;3400949485697;3400949484928;3400949485529;3400937808200;3400921686951;3400935644244;3400937951708;3400935575593;3400937390941;3400937316903;3400935933836;3400935742049;3400937142434;3400933728601;3400937395915;3400936141971;3400938763133;3400937951937;3400938763072;3400938441413;3400937318044;3400937125055;3400937226851;3400933553302;3400938441352;3400937299190;3400937915168;3400933728540;3400936742888;3400921694994;3400937395793;3400937808439;3400933553180;3400933061883;3400937286824;3400937244312;3400935741677;3400921695137;3400938395594;3400935741738;3400937142205;3400937227223;3400937287135;3400937299541;3400937286992;3400937227162;3400938394764;3400936142053;3400937124973;3400933061593;3400934426551;3400937295758;3400937303026;3400935934437;3400937227452;3400935575654;3400937316781;3400935136398;3400937317733;3400935539236;3400935686695;3400932187683;3400935742100;3400921687262;3400937391191;3400935575135;3400935644183;3400936742949;3400937142724;3400935686527;3400937142953;3400937287364;3400949485697;3400949484928;3400949485529;3400937808200;3400921686951;3400935644244;3400937951708;3400935575593;3400937390941;3400937316903;3400935933836;3400935742049;3400937142434;3400933728601;3400937395915;3400936141971;3400938763133;3400937951937;3400938763072;3400938441413;3400937318044;3400937125055;3400937226851;3400933553302;3400938441352;3400937299190;3400937915168;3400933728540;3400936742888;3400921694994;3400937395793;3400937808439;3400933553180;3400933061883;3400937286824;3400937244312;3400935741677;3400921695137;3400938395594;3400935741738;3400937142205;3400937227223;3400937287135;3400937299541;3400937286992;3400937227162;3400938394764;3400936142053;3400937124973;3400933061593;3400934426551;3400937295758;3400937201148;3400937200837;3400932942039;3400937150187;3400932999620;3400937149938
ATORVASTATINE	3400941736605;3400927585340;3400941744129;3400941668326;3400941988493;3400921653083;3400922119946;3400921743883;3400926616458;3400922183589;3400941738906;3400941742057;3400949445608;3400927584510;3400927585401;3400921743364;3400934306983;3400922158167;3400941826825;3400949883103;3400949444946;3400949958306;3400941739446;3400949446438;3400941800160;3400949957934;3400921740233;3400949683598;3400921740813;3400921742763;3400949689392;3400922284927;3400922119717;3400949443246;3400941530548;3400941732690;3400934306815;3400927585111;3400922145679;3400949958474;3400926615628;3400927584800;3400926974077;3400941737145;3400941724657;3400949682768;3400949957415;3400949442584;3400922158808;3400921742183;3400921741292;3400941988783;3400941988325;3400922284576;3400941988554;3400927584749;3400941799877;3400949882960;3400926974657;3400934306754;3400926616977;3400949888535;3400941949005;3400941988615;3400941726088;3400922145389;3400941734243;3400941988264;3400921741704;3400922136745;3400922135335;3400922137056;3400949676385;3400927584459;3400941728501;3400927303173;3400922183701;3400949444137;3400941732003;3400949659876;3400949397488;3400941724077;3400922499628;3400941801051;3400949390915;3400941800801;3400949957873;3400949385133;3400949397198;3400949397778;3400941987953;3400949887934;3400937199216;3400941531668;3400926615796;3400937199384;3400922135045;3400949386253;3400941799068;3400941730160;3400949677108;3400941726668;3400921664959;3400949440924;3400922284286;3400949887705;3400949395767;3400949688562;3400941530777;3400949395019;3400922499567;3400949458844;3400926998660;3400941670916;3400922135793;3400941797927;3400921801996;3400949021130;3400937199506;3400949398140;3400941532849;3400941724138;3400941532610;3400949659128;3400926973476;3400926975609;3400922134673;3400941670565;3400926633257;3400941673177;3400927585050;3400949441693;3400922183640;3400941988035;3400926972875;3400937199445;3400941798818;3400949959075;3400941531897;3400926634896;3400949458783;3400949387434;3400949383931;3400926616397;3400927303692;3400941797637;3400941948404;3400926616809;3400921665901;3400941668784;3400921809114;3400935557506;3400926972356;3400921805260;3400949382989;3400921804720;3400922190624;3400949888825;3400941732171;3400941742408;3400926635558;3400941728150;3400949395309;3400922183879;3400921666441;3400921809572;3400949388615;3400922191225;3400926635909;3400941672637;3400926998141;3400949389735;3400949394708;3400941734823;3400926634377;3400921666090;3400926633608;3400926975197;3400921806441;3400922190563;3400941749032;3400949888306;3400941746369;3400949888184;3400921664430;3400941744648;3400921663839;3400941746888;3400941746420;3400921806960;3400941748431;3400922190853;3400921664379;3400921801477;3400921665550;3400941736605;3400927585340;3400941744129;3400941668326;3400941988493;3400921653083;3400922119946;3400921743883;3400926616458;3400922183589;3400941738906;3400941742057;3400949445608;3400927584510;3400927585401;3400921743364;3400934306983;3400922158167;3400941826825;3400949883103;3400949444946;3400949958306;3400941739446;3400949446438;3400941800160;3400949957934;3400921740233;3400949683598;3400921740813;3400921742763;3400949689392;3400922284927;3400922119717;3400949443246;3400941530548;3400941732690;3400934306815;3400927585111;3400922145679;3400949958474;3400926615628;3400927584800;3400926974077;3400941737145;3400941724657;3400949682768;3400949957415;3400949442584;3400922158808;3400921742183;3400921741292;3400941988783;3400941988325;3400922284576;3400941988554;3400927584749;3400941799877;3400949882960;3400926974657;3400934306754;3400926616977;3400949888535;3400941949005;3400941988615;3400941726088;3400922145389;3400941734243;3400941988264;3400921741704;3400922136745;3400922135335;3400922137056;3400949676385;3400927584459;3400941728501;3400927303173;3400922183701;3400949444137;3400941732003;3400949659876;3400949397488;3400941724077;3400922499628;3400941801051;3400949390915;3400941800801;3400949957873;3400949385133;3400949397198;3400949397778;3400941987953;3400949887934;3400937199216;3400941531668;3400926615796;3400937199384;3400922135045;3400949386253;3400941799068;3400941730160;3400949677108;3400941726668;3400921664959;3400949440924;3400922284286;3400949887705;3400949395767;3400949688562;3400941530777;3400949395019;3400922499567;3400949458844;3400926998660;3400941670916;3400922135793;3400941797927;3400921801996;3400949021130;3400937199506;3400949398140;3400941532849;3400941724138;3400941532610;3400949659128;3400926973476;3400926975609;3400922134673;3400941670565;3400926633257;3400941673177;3400927585050;3400949441693;3400922183640;3400941988035;3400926972875;3400937199445;3400941798818;3400949959075;3400941531897;3400926634896;3400949458783;3400949387434;3400949383931;3400926616397;3400927303692;3400941797637;3400941948404;3400926616809;3400921665901;3400941668784;3400921809114;3400935557506;3400926972356;3400921805260;3400949382989;3400921804720;3400922190624;3400949888825;3400941732171;3400941742408;3400926635558;3400941728150;3400949395309;3400922183879;3400921666441;3400921809572;3400949388615;3400922191225;3400926635909;3400941672637;3400926998141;3400949389735;3400949394708;3400941734823;3400926634377;3400921666090;3400926633608;3400926975197;3400921806441;3400922190563;3400941749032;3400949888306;3400941746369;3400949888184;3400921664430;3400941744648;3400921663839;3400941746888;3400941746420;3400921806960;3400941748431;3400922190853;3400921664379;3400921801477;3400921665550;3400937575485;3400937575546;3400936930506;3400936929845;3400928004895;3400928005328;3400928005786;3400928005557
ATOVAQUONE	3400936572782
AXITINIB	3400927547379;3400926648275;3400926648046
AZATHIOPRINE	3400938549904;3400937920070;3400935451316;3400936414907;3400936414327
AZELASTINE	3400933830595;3400934767203
AZITHROMYCINE	3400938213874;3400937726771;3400934333729;3400937945905;3400938203820;3400939534794;3400937935388;3400938240610;3400935656421;3400937945493;3400937945783;3400935656599;3400937459990;3400921811704;3400935177322;3400935177551;3400939322827;3400937945264;3400938025569;3400927848339;3400937834162;3400938762822;3400935656889;3400935177780;3400937834391;3400927646584;3400939500966
BACLOFENE	3400936743199;3400931716181
BAMBUTEROL	3400933713690;3400933713751
BCG	3400934974786;3400949252497;3400935395672
