ABATACEPT	3400926884376
ISONIAZIDE	3400934779619;3400934779787;3400934779619;3400934779787;3400932954094;3400932993536
ISOSORBIDE	3400934432125;3400934432644;3400932912742;3400932340699;3400932404438;3400934391910;3400932340460;3400932864805;3400932793044;3400932792962;3400932865055
ISOTRETINOINE	3400936760349;3400935813688;3400935783899;3400935813169;3400938260199;3400935783660;3400936788084;3400935784032;3400935812568;3400939052274;3400935811677;3400936788435;3400939763163;3400936114838;3400935812049;3400936114777
ISRADIPINE	3400937393904;3400933340780;3400933333928;3400933333577;3400937393782;3400933341091
ITRACONAZOLE	3400941884894;3400937731454;3400934502064;3400938168020;3400933462888;3400936729414
IVABRADINE	3400937167918;3400937167628
JOSAMYCINE	3400932360161;3400932306923;3400933941178;3400932306282;3400932307005
KETOCONAZOLE	3400938382709;3400938942453;3400938381177;3400938941913;3400938941852;3400938861396;3400938860337;3400938860795;3400938382587;3400938861747;3400938860856;3400938942224;3400932562435;3400938414448;3400938941623;3400932924929;3400938415797;3400938860108;3400938861518;3400938940442;3400933306953;3400938365900;3400933306663
KETOPROFENE	3400933497378;3400936167247;3400936111646;3400933559045;3400937374972;3400934114595;3400936167186;3400937834681;3400931389057;3400922143378;3400933497149;3400933817701;3400937834513;3400934292125;3400922142838;3400933354978;3400938310610;3400938690002;3400934444760;3400934444470;3400933000851;3400936111707;3400933302061;3400937848299;3400938267174;3400933285920;3400937992978;3400937466745;3400922142609;3400922143149;3400931792932;3400938690231;3400936764132;3400938365498;3400938364668;3400936167308;3400934073113;3400926629007;3400934718984;3400936618602;3400938205022;3400926618698;3400933081065;3400934140501;3400938364958;3400937522496;3400939674933;3400933158330;3400935157331;3400938524659;3400949939206;3400933927912;3400933928162;3400932541324;3400936818804;3400935330918;3400935302014;3400932825943;3400938524598;3400939674414;3400936745902;3400939980225;3400939672281;3400936016392
KETOTIFENE	3400933692148;3400949250318;3400922214610;3400935158512;3400935607744;3400932448951;3400932303502
LABETALOL	3400937482363;3400932265268
LACIDIPINE	3400937313131;3400933347017;3400937312998;3400933347475
LAMIVUDINE	3400935196941;3400922377001;3400935196712;3400934145292;3400934145124;3400922376639;3400935848819;3400935196941;3400922377001;3400935196712;3400934145292;3400934145124;3400922376639;3400935848819;3400927948954;3400936572843;3400926790592;3400922264127;3400941945090;3400934662713;3400936109285
LAMOTRIGINE	3400939283005;3400921965919;3400939282114;3400937871761;3400939282572;3400936967816;3400939281742;3400936968417;3400937911436;3400937867979;3400937870290;3400933898663;3400934147364;3400937278898;3400936619142;3400937912846;3400939283524;3400934147135;3400937926515;3400936619203;3400937912266;3400921967920;3400933898434;3400938810301;3400938080339;3400938509922;3400937627276;3400937628228;3400934483561;3400938086072;3400935458179;3400938811360;3400938110357;3400937626217;3400937627795;3400936967175;3400938510812;3400938810998;3400938079449;3400937913386;3400938083989;3400938084931;3400938510690;3400938510461;3400938081749;3400937925853;3400937927116;3400938082869;3400938827330
LANSOPRAZOLE	3400927870910;3400949004621;3400938103953;3400938117271;3400926955786;3400938194333;3400927870859;3400927931284;3400938104035;3400927932694;3400938116502;3400938140224;3400941780837;3400938993660;3400927352898;3400938193732;3400938113600;3400927871399;3400938193503;3400938139853;3400949004799;3400938186758;3400938106107;3400938991710;3400938117042;3400949007523;3400938113020;3400927930683;3400938118162;3400927418358;3400935842374;3400938117103;3400934303562;3400926957278;3400949007691;3400938116731;3400941902109;3400938117912;3400938194104;3400938118452;3400938118223;3400938106336;3400938104844;3400926955908;3400938105094;3400938140453;3400938113259;3400921790559;3400941787751;3400938186529;3400949000838;3400938194043;3400938117561;3400927929854;3400927932526;3400934303333;3400938993899;3400938991598;3400937828369;3400938119053;3400935881694;3400937828130;3400937827768;3400934549021;3400927933127;3400941785511;3400938104905;3400938117790;3400926955847;3400927352959;3400927929915;3400949026272;3400938109757;3400938119633;3400941787522;3400934410642;3400938112078;3400949498246;3400934304163;3400941785689;3400938118513;3400934455186;3400938112139;3400938144307;3400937827300;3400938111828;3400941781209;3400938112887;3400937827829;3400927933295;3400934455247;3400938142693;3400938140163;3400927418419;3400938112948;3400936871380;3400949498994;3400938119572;3400939239521;3400941783159;3400937828598;3400938119114;3400938118681;3400934475696;3400936871441;3400937828079;3400937827997;3400938119282;3400939239989;3400936871731;3400938109986;3400934096006;3400937827539;3400938174052;3400934415555;3400938109696;3400941783388;3400939239811;3400934475528;3400938113549;3400938174922;3400938108576;3400938174113;3400939239699;3400936871670;3400937827188;3400934410413;3400938108866;3400949498536;3400934415784;3400938174342;3400938119343;3400938175172;3400949498765;3400934548420;3400938119862;3400926957568;3400949498017;3400941787461
LAPATINIB	3400938379518;3400941701825;3400941701993;3400949164349
LERCANIDIPINE	3400938739299;3400930005460;3400930005576;3400938596397;3400938596748;3400938737578;3400930005521;3400937795500;3400932879991;3400933193577;3400939158464;3400931631163;3400926916008;3400931368236;3400934676031;3400949183739;3400931517160;3400931788560;3400949185399;3400931850984;3400931611981;3400934677212;3400931424567;3400939170411;3400933549749;3400939170701;3400922100906;3400939240879;3400937228633;3400939158815;3400933708788;3400931382942;3400937124454;3400931475835;3400934949135;3400939160535;3400932945160;3400937836173;3400931562573;3400937124393;3400937226042;3400932136018;3400922103396;3400934677670;3400922101385;3400939159126;3400939157283;3400931754732;3400932945450;3400934675720;3400939157573;3400939241180;3400931654865;3400939158006;3400926836122;3400939241470;3400922102856;3400930587096;3400937124164;3400937228862;3400937833851;3400932879533;3400931531876;3400937124225;3400931914723;3400934763878;3400932827435;3400933532369;3400932131853;3400932831746;3400931532996;3400931430421;3400933275174;3400937225960;3400937780421;3400933677640;3400932832118;3400932826544;3400937795500;3400932879991;3400933193577;3400939158464;3400931631163;3400926916008;3400931368236;3400934676031;3400949183739;3400931517160;3400931788560;3400949185399;3400931850984;3400931611981;3400934677212;3400931424567;3400939170411;3400933549749;3400939170701;3400922100906;3400939240879;3400937228633;3400939158815;3400933708788;3400931382942;3400937124454;3400931475835;3400934949135;3400939160535;3400932945160;3400937836173;3400931562573;3400937124393;3400937226042;3400932136018;3400922103396;3400934677670;3400922101385;3400939159126;3400939157283;3400931754732;3400932945450;3400934675720;3400939157573;3400939241180;3400931654865;3400939158006;3400926836122;3400939241470;3400922102856;3400930587096;3400937124164;3400937228862;3400937833851;3400932879533;3400931531876;3400937124225;3400931914723;3400934763878;3400932827435;3400933532369;3400932131853;3400932831746;3400931532996;3400931430421;3400933275174;3400937225960;3400937780421;3400933677640;3400932832118;3400932826544
LEVOBUNOLOL	3400932815319;3400934586101;3400932849376
LEVODOPA	3400938328301;3400931704294;3400931704874;3400933313128;3400938328998;3400938329599;3400932985371;3400932407620;3400934368219;3400931724636;3400932008056;3400933566548;3400933569389;3400934368509;3400937620932;3400937621304;3400926704209;3400928009050;3400936345737;3400939442563;3400936345386;3400928008510;3400939441962;3400928010759;3400928009579;3400928010179;3400938538847;3400936346277
LEVOFLOXACINE	3400939582290;3400937527460;3400939496672;3400939584133;3400939580289;3400941964312;3400934965562;3400939882710;3400949491322;3400939911496;3400922026473;3400939883199;3400939497914;3400949277223;3400939796451;3400939498744;3400949288519;3400941860652;3400949014446;3400949003969;3400939110158;3400949005680
LEVOMEPROMAZINE	3400932725786;3400930742815;3400930743126;3400930742983
LEVONORGESTREL	3400932200672;3400932200733;3400936413726;3400937307567;3400932200672;3400932200733;3400936413726;3400937307567;3400927419478;3400936759459;3400935531131;3400939181066;3400932807154;3400922408439;3400931840640;3400939181127;3400927999352;3400922178967;3400939108087;3400931824091;3400949113422;3400938479324;3400937700009;3400922179049;3400931823902;3400926752514;3400935884138;3400926752682;3400938479263;3400935673220;3400935884367;3400949113361;3400931840879;3400938999754;3400938999815;3400927731891;3400932807093;3400939102344;3400928023476;3400928023308;3400935673169;3400927982613
LISINOPRIL	3400935884657;3400949424955;3400935884718;3400935884886;3400932999101;3400938630497;3400932998739;3400936731134;3400938789737;3400936478541;3400936478770;3400932999040;3400936025158;3400936415737;3400938789966;3400937425063;3400932998968;3400937392204;3400936415508;3400937205221;3400936711372;3400937392372;3400937913737;3400936731424;3400936939721;3400937453097;3400937298599;3400935879455;3400937424981;3400936730762;3400936730991;3400937445863;3400937392082;3400937298711;3400936025219;3400937289146;3400937914277;3400937242301;3400936650718;3400936650657;3400937392143;3400937396394;3400937445405;3400935884657;3400949424955;3400935884718;3400935884886;3400932999101;3400938630497;3400932998739;3400936731134;3400938789737;3400936478541;3400936478770;3400932999040;3400936025158;3400936415737;3400938789966;3400937425063;3400932998968;3400937392204;3400936415508;3400937205221;3400936711372;3400937392372;3400937913737;3400936731424;3400936939721;3400937453097;3400937298599;3400935879455;3400937424981;3400936730762;3400936730991;3400937445863;3400937392082;3400937298711;3400936025219;3400937289146;3400937914277;3400937242301;3400936650718;3400936650657;3400937392143;3400937396394;3400937445405;3400936682184;3400937227803;3400936681873;3400936681934;3400921722192;3400938762761;3400936681705;3400936681644;3400937682855;3400933173296;3400937351850;3400937351621;3400937682794;3400938756739;3400938731255;3400937452328;3400936682016;3400937384629;3400937294409;3400937294287;3400937050722;3400936890251;3400921722253;3400937153720;3400938307948;3400937153959;3400937807487;3400922420844
LISURIDE	3400933284510;3400933284398;3400933480288
LITHIUM	3400931376330;3400931792703;3400933727369
LOFLAZEPATE	3400932403028
LOPINAVIR	3400935668196;3400937609937;3400937610018;3400949409648;3400938442014
LOPRAZOLAM	3400932487813
LORAZEPAM	3400926923969;3400935746931;3400926924041;3400934043826;3400931489962;3400933651565
LORMETAZEPAM	3400934966743;3400935447005;3400927567131;3400927567070
LOSARTAN	3400939260341;3400939646497;3400938966527;3400938968477;3400939261461;3400937849470;3400939621425;3400939645087;3400939799414;3400939652931;3400937849180;3400933852429;3400938968019;3400939467009;3400938771008;3400939332703;3400938356045;3400938357455;3400938358056;3400939467467;3400935849588;3400938966985;3400939261003;3400938529272;3400937146166;3400938771695;3400939680965;3400938702330;3400937873192;3400939466927;3400938356915;3400939466576;3400938703221;3400938299403;3400938529562;3400939333014;3400939847870;3400949317585;3400937145046;3400938575118;3400938527841;3400949010943;3400938528152;3400935682963;3400938302684;3400939680156;3400939680507;3400926632076;3400939466408;3400938702910;3400938705690;3400939260631;3400937873604;3400938301625;3400938575576;3400949640775;3400939340227;3400938358407;3400938355505;3400949333493;3400938705812;3400939326849;3400939327150;3400939679846;3400938706642;3400939646909;3400938876475;3400938575347;3400949333783;3400926632366;3400938298512;3400939645667;3400949903306;3400938356564;3400949902934;3400938702101;3400949010653;3400949900404;3400949317295;3400949900114;3400938706413;3400939850603;3400939260341;3400939646497;3400938966527;3400938968477;3400939261461;3400937849470;3400939621425;3400939645087;3400939799414;3400939652931;3400937849180;3400933852429;3400938968019;3400939467009;3400938771008;3400939332703;3400938356045;3400938357455;3400938358056;3400939467467;3400935849588;3400938966985;3400939261003;3400938529272;3400937146166;3400938771695;3400939680965;3400938702330;3400937873192;3400939466927;3400938356915;3400939466576;3400938703221;3400938299403;3400938529562;3400939333014;3400939847870;3400949317585;3400937145046;3400938575118;3400938527841;3400949010943;3400938528152;3400935682963;3400938302684;3400939680156;3400939680507;3400926632076;3400939466408;3400938702910;3400938705690;3400939260631;3400937873604;3400938301625;3400938575576;3400949640775;3400939340227;3400938358407;3400938355505;3400949333493;3400938705812;3400939326849;3400939327150;3400939679846;3400938706642;3400939646909;3400938876475;3400938575347;3400949333783;3400926632366;3400938298512;3400939645667;3400949903306;3400938356564;3400949902934;3400938702101;3400949010653;3400949900404;3400949317295;3400949900114;3400938706413;3400939850603;3400938543469;3400939525112;3400938545302;3400937748483;3400938542059;3400941513510;3400938997163;3400921977516;3400949344901;3400938545999;3400949343379;3400938997224;3400941513749;3400938920222;3400938632859;3400938923933;3400938965636;3400949309542;3400926888169;3400949009183;3400938546712;3400921938074;3400939435701;3400921644098;3400938992489;3400949345380;3400938996852;3400939525921;3400939937281;3400938545180;3400939436180;3400941513800;3400939559469;3400921976045;3400935186256;3400941513688;3400921643497;3400938992601;3400939894256;3400939895437;3400938633801;3400938546590;3400939935799;3400937140881;3400937144674;3400939764924;3400938544879;3400921938715;3400921938364;3400938906264;3400921938593;3400949019120;3400949342839;3400938997514;3400949016976;3400949895229;3400939647678;3400938259650;3400938981254;3400938634112;3400939650111;3400938919622;3400938632620;3400921943856;3400941961700;3400938361247;3400933852078;3400926887797;3400939937342;3400939853505;3400938255409;3400939273648;3400939648620;3400938259131;3400921975673;3400937748834;3400939852782;3400921981247;3400949002320;3400938362947;3400939274829;3400939522500;3400941962011;3400938255058;3400939853154;3400939764863;3400939521787;3400949139965;3400939932439;3400949140336;3400939273129;3400939649221;3400939560588;3400921944167;3400939559520;3400938924244;3400921977806;3400921980936;3400921810813;3400939559230;3400939560649;3400949894857;3400939274249;3400939559698;3400939649689
LOXAPINE	3400932334209;3400932227709;3400933435745;3400933984281
LUMEFANTRINE	3400927603303
LYMECYCLINE	3400936759800;3400931048756;3400936095984;3400941588099;3400927983153
MANIDIPINE	3400941758485;3400941989155;3400941816598;3400937888912;3400941989216;3400941816420;3400937892292;3400937837415;3400938048452;3400937903851;3400938049053;3400937482943;3400941758775;3400938049282;3400937482424;3400941989445;3400941816369;3400938048513;3400941816130;3400941758607;3400937838825;3400941989384;3400937838535;3400941759086;3400937837934;3400937482653;3400937482714;3400937907415;3400937837125;3400937838245;3400937838474;3400937838993
MAPROTILINE	3400931402336;3400932229130
MARAVIROC	3400938234985;3400938234817
MECLOZINE	3400933488383
MEDROGESTONE	3400931308614
MEDROXYPROGESTERONE	3400932614394;3400932657339;3400931668305;3400932386994;3400932614394;3400932657339;3400931668305;3400932386994;3400935784902;3400935785152;3400933443559;3400935785381
MEFLOQUINE	3400933961688
MELOXICAM	3400935397454;3400933960858;3400933890629;3400939663586;3400937655071;3400939173023;3400933893170;3400939174204;3400937182645;3400937094085;3400937181693;3400939660974;3400937094726;3400939836065;3400934217654;3400939897158
MELPHALAN	3400936075993;3400934584329
MEPROBAMATE	3400938401080;3400930368954;3400934582196;3400938609387;3400938609448;3400934582028;3400938401080;3400930368954;3400934582196;3400938609387;3400938609448;3400934582028;3400930658567
MEQUITAZINE	3400931815686;3400932636808;3400933958329;3400936273085
MERCAPTOPURINE	3400922457406;3400936431126
MEROPENEM	3400938783063;3400927996511
METFORMINE	3400935602312;3400937946094;3400936122581;3400949122127;3400936670709;3400922152363;3400938007879;3400939718101;3400936122871;3400927564529;3400930448021;3400936501935;3400935662804;3400949792511;3400937843218;3400937204859;3400939705903;3400939703480;3400949125777;3400935661272;3400937308748;3400935661562;3400936670877;3400938688689;3400936502307;3400936501874;3400941582356;3400937377355;3400937289436;3400937633130;3400922152134;3400938010251;3400949120406;3400937734356;3400935219527;3400938653212;3400938688740;3400935833389;3400935323415;3400937632997;3400935300812;3400935662682;3400935661852;3400937289665;3400935835680;3400949123766;3400935601711;3400949124886;3400938840117;3400935772374;3400938523188;3400936161214;3400937394505;3400937843386;3400936500174;3400931927501;3400936708532;3400941583995;3400938696264;3400927564239;3400939717968;3400939016085;3400949123018;3400938653441;3400938689860;3400937394444;3400939015774;3400949794980;3400936709072;3400938129748;3400936894624;3400949121175;3400949791279;3400934911682;3400935881465;3400935281678;3400938007589;3400922086965;3400936161382;3400936501126;3400937308458;3400934555404;3400935661623;3400936708471;3400937224611;3400937291965;3400949127269;3400934912344;3400937240758;3400938831580;3400937240697;3400935772664;3400927970207;3400938934878;3400934888700;3400935478221;3400937040037;3400935835802;3400936708990;3400939245553;3400939243603;3400937291736;3400938831290;3400939254487;3400936501584;3400949655915;3400936560727;3400949652433;3400927968136;3400936890312;3400937399876;3400949126439;3400938763362;3400936122932;3400941581984;3400939718330;3400939246154;3400941587559;3400937227681;3400927974977;3400939717449;3400935348319;3400949653553;3400927967184;3400934665905;3400937632478;3400939241821;3400939242880;3400936595446;3400939244723;3400937391603;3400935244420;3400936560956;3400937234085;3400949800308;3400935347947;3400937233835;3400936671010;3400937303484;3400939718620;3400941587030;3400938558487;3400949791620;3400939717210;3400939015255;3400927974397;3400938934700;3400936502826;3400936123243;3400937235495;3400935444912;3400936753365;3400937040495;3400938934588;3400949654444;3400938558319;3400936502765;3400936737228;3400949790388;3400939706504;3400939702889;3400935243539;3400937233774;3400937841207;3400936618312;3400937391832;3400938558258;3400937391771;3400949796182;3400938934649;3400941584428;3400938130058;3400931927679;3400949651481;3400927971785;3400935602312;3400937946094;3400936122581;3400949122127;3400936670709;3400922152363;3400938007879;3400939718101;3400936122871;3400927564529;3400930448021;3400936501935;3400935662804;3400949792511;3400937843218;3400937204859;3400939705903;3400939703480;3400949125777;3400935661272;3400937308748;3400935661562;3400936670877;3400938688689;3400936502307;3400936501874;3400941582356;3400937377355;3400937289436;3400937633130;3400922152134;3400938010251;3400949120406;3400937734356;3400935219527;3400938653212;3400938688740;3400935833389;3400935323415;3400937632997;3400935300812;3400935662682;3400935661852;3400937289665;3400935835680;3400949123766;3400935601711;3400949124886;3400938840117;3400935772374;3400938523188;3400936161214;3400937394505;3400937843386;3400936500174;3400931927501;3400936708532;3400941583995;3400938696264;3400927564239;3400939717968;3400939016085;3400949123018;3400938653441;3400938689860;3400937394444;3400939015774;3400949794980;3400936709072;3400938129748;3400936894624;3400949121175;3400949791279;3400934911682;3400935881465;3400935281678;3400938007589;3400922086965;3400936161382;3400936501126;3400937308458;3400934555404;3400935661623;3400936708471;3400937224611;3400937291965;3400949127269;3400934912344;3400937240758;3400938831580;3400937240697;3400935772664;3400927970207;3400938934878;3400934888700;3400935478221;3400937040037;3400935835802;3400936708990;3400939245553;3400939243603;3400937291736;3400938831290;3400939254487;3400936501584;3400949655915;3400936560727;3400949652433;3400927968136;3400936890312;3400937399876;3400949126439;3400938763362;3400936122932;3400941581984;3400939718330;3400939246154;3400941587559;3400937227681;3400927974977;3400939717449;3400935348319;3400949653553;3400927967184;3400934665905;3400937632478;3400939241821;3400939242880;3400936595446;3400939244723;3400937391603;3400935244420;3400936560956;3400937234085;3400949800308;3400935347947;3400937233835;3400936671010;3400937303484;3400939718620;3400941587030;3400938558487;3400949791620;3400939717210;3400939015255;3400927974397;3400938934700;3400936502826;3400936123243;3400937235495;3400935444912;3400936753365;3400937040495;3400938934588;3400949654444;3400938558319;3400936502765;3400936737228;3400949790388;3400939706504;3400939702889;3400935243539;3400937233774;3400937841207;3400936618312;3400937391832;3400938558258;3400937391771;3400949796182;3400938934649;3400941584428;3400938130058;3400931927679;3400949651481;3400927971785;3400935802804;3400935801623;3400935803344;3400935802224;3400937738378;3400936349810;3400936514591;3400936349988;3400936514423;3400937170819;3400937171069;3400922007892;3400938677973;3400938678116;3400938277050;3400927349010
METHADONE	3400934004155;3400933894580;3400934004216;3400937914857;3400938050813;3400937914628;3400937914918;3400933894351;3400937914796;3400933894412
METHOTREXATE	3400937215626;3400930670804;3400937214216;3400934539725;3400926889050;3400926889401;3400937216975;3400926889920;3400937175432;3400926774974;3400931501251;3400931602187;3400926888688;3400937218238;3400937215626;3400930670804;3400937214216;3400934539725;3400926889050;3400926889401;3400937216975;3400926889920;3400937175432;3400926774974;3400931501251;3400931602187;3400926888688;3400937218238;3400933498269;3400938984156;3400930670682;3400938974041
METHYCLOTHIAZIDE	3400932850495
METHYLDOPA	3400931738015;3400930021989
METHYLERGOMETRINE	3400930669624;3400930669792;3400933559335
METHYLPHENIDATE	3400936535183;3400936155411;3400936535015;3400949726226;3400936534933;3400949726165;3400949726745;3400936155589;3400936155640;3400933929404;3400941686535
METHYLPREDNISOLONE	3400930971871;3400933189846;3400931552819;3400937232425;3400930971703;3400938677225;3400930655955
METHYSERGIDE	3400930298206
METIPRANOLOL	3400933125561;3400932872558;3400932872619
METOCLOPRAMIDE	3400933689766;3400932973484;3400935329219;3400930861202;3400930861660;3400934408571;3400930861431;3400931825791;3400935928405;3400936618190;3400932317929;3400932318001;3400932975846;3400934408632;3400932791613;3400932973484;3400935329219;3400930861202;3400930861660;3400934408571;3400930861431;3400931825791;3400935928405;3400936618190;3400932317929;3400932318001;3400932975846;3400934408632;3400932791613
METOPIMAZINE	3400931714811;3400931149453;3400932054411;3400931149682;3400933316259;3400936497931
METOPROLOL	3400941655838;3400922324821;3400937314831;3400933108991;3400937393553;3400937150309;3400932250479;3400933143312;3400922324241;3400937666947;3400937225212;3400937393614;3400937225441;3400937362917;3400934202117;3400941655548;3400933108472;3400938524949;3400935846747;3400932303731;3400937666886;3400941655838;3400922324821;3400937314831;3400933108991;3400937393553;3400937150309;3400932250479;3400933143312;3400922324241;3400937666947;3400937225212;3400937393614;3400937225441;3400937362917;3400934202117;3400941655548;3400933108472;3400938524949;3400935846747;3400932303731;3400937666886;3400932645442;3400937482134;3400937144094;3400937144216
METRONIDAZOLE	3400921804201;3400931316947;3400933472184;3400933115517;3400935265012;3400930400173;3400934824593;3400935345936;3400933115685;3400930400005;3400934251603;3400933366926;3400931316947;3400933472184;3400933115517;3400935265012;3400930400173;3400934824593;3400935345936;3400933115685;3400930400005;3400934251603;3400933366926;3400949292011;3400937110266;3400935547279;3400937103923;3400937115698;3400937105934;3400937108195;3400949291588;3400937108317;3400936714274;3400937109147;3400937106474;3400934828157;3400937108546;3400937104524;3400936714625;3400930747728;3400936705289;3400937105415;3400936713505;3400936713963;3400936193611;3400936705340;3400937115810;3400937107655
MIANSERINE	3400933423858;3400936139381;3400936746381;3400936132238;3400935866738;3400936746442;3400935738028;3400935867049;3400935863195;3400935766281;3400935736307;3400935736017;3400936618251;3400935736994;3400936144705;3400932150434;3400936618541;3400936144583;3400936132818;3400933707378;3400936746213;3400936132177;3400935736246;3400936139091;3400935738196;3400936139213;3400934833359;3400935766571;3400935766403;3400932611782;3400935737366;3400935737137;3400935835161;3400933423797;3400936618480;3400935737885;3400935834911;3400935834799;3400936144644
MICONAZOLE	3400931941057;3400937723640;3400932680689;3400934830808;3400932387137;3400931748939
MIDAZOLAM	3400922108711;3400922108421;3400922108599;3400922108650
MIDECAMYCINE	3400935601421;3400933381073
MIDODRINE	3400934825484;3400934825545
MILNACIPRAN	3400941938818;3400934198571;3400934197741;3400941714313;3400941714603;3400922086385
MINOCYCLINE	3400936117969;3400936117679;3400934033889;3400935164773;3400934116896;3400934033940;3400934313387;3400934797019;3400934034022;3400933873769;3400936665965;3400934758386;3400936808119;3400931486022;3400934098307;3400932933624;3400933618049
MIRTAZAPINE	3400937726481;3400939023410;3400937614498;3400938759112;3400937846349;3400934454127;3400935995230;3400938461282;3400937726313;3400937725422;3400937846578;3400937673860;3400922085845;3400939121093;3400938461114;3400938106565;3400921843750;3400939022239;3400936946583
MITOMYCINE C	3400935754806;3400936047679;3400936047730
MIZOLASTINE	3400936398085;3400936397774
MOCLOBEMIDE	3400933324933
MODAFINIL	3400927626425;3400933464660;3400926830038;3400949269419;3400949267408
MOEXIPRIL	3400934148835;3400934148774
MOLSIDOMINE	3400936807686;3400935705198;3400937418430;3400936666566;3400939628059;3400935730961;3400937743402;3400936666627;3400935554833;3400933035921;3400936746671;3400935554253;3400935555083;3400936144934;3400935961402;3400935555205;3400932410811;3400936746732;3400936144873;3400936161443;3400935961570;3400935731852;3400935705778;3400935554192;3400936746503;3400935961631;3400935840882;3400935826695;3400935555373;3400935554314;3400932411061;3400935555892;3400935731043;3400935555144;3400935102560;3400935555434;3400935745460;3400935840714;3400935825865;3400935555953;3400935826527;3400935825926;3400935840592;3400935825575;3400935826237;3400935554772;3400935731104;3400935555663;3400935556035
MORNIFLUMATE	3400931321330;3400931886365
MORPHINE	3400934291234;3400934387609;3400934387487;3400934990007;3400932869886;3400934021305;3400933480059;3400932869718;3400934291463;3400934992308;3400934991295;3400935620699;3400935620170;3400934053702;3400933323813;3400933323691;3400933323752;3400936907553;3400934387258;3400934951374;3400933323523;3400932870028;3400936906891;3400936907782;3400933479978;3400932869947;3400921879599;3400935619921;3400934410932;3400936911635;3400936587281;3400936910683;3400936906372;3400936905771
MOXIFLOXACINE	3400935757876;3400927356681;3400927356513;3400922083605;3400922083544;3400935757937
MOXONIDINE	3400937769075;3400937148696;3400933778927;3400937354172;3400937450546;3400937354004;3400937450836;3400933778286;3400937353632;3400937771726;3400937771894;3400937450607;3400937936620;3400937451086;3400937451147;3400937769136;3400937353052;3400937769594;3400937148528;3400937683746;3400937954020;3400937953887;3400937772266;3400937683975;3400937353342;3400937935968;3400937353403;3400937353861;3400937353113;3400937451376
NABUMETONE	3400933271732;3400933271152;3400934650185
NADOLOL	3400934783289
NADROPARINE CALCIQUE	3400932782857;3400933389178;3400932782567;3400932783229;3400933246549;3400934732881;3400934733604;3400934733314;3400934733192;3400934733482;3400934733024;3400933487614;3400933488963
NALMEFENE	3400930008263;3400927443480
NALOXONE	3400937761550;3400937761611;3400937761321;3400937761499
NALTREXONE	3400938861976;3400936757219;3400934175169;3400939897219
NAPHAZOLINE	3400931152705
NAPROXENE	3400935062147;3400927428692;3400932050567;3400932661350;3400949974153;3400932500390;3400931684442;3400932381043;3400933228279;3400934671647;3400933449933;3400932534340;3400933536442;3400931684381;3400934672248;3400934671708;3400933536503;3400933228330;3400934671876;3400941628115;3400935024176;3400934671357
NARATRIPTAN	3400949393527;3400949392117;3400941880872;3400941882135;3400941822452;3400938614060;3400934394232;3400934642203;3400941822391;3400938613988;3400935546739;3400949393237;3400941882364;3400949363131;3400941880933;3400949391974;3400921815146;3400935546968;3400921815085;3400949362998
NEBIVOLOL	3400937420730;3400939329161;3400938771756;3400939829890;3400938073065;3400939330402;3400939331003;3400939828312;3400938073355;3400939829203;3400934169717;3400939828022;3400939683119;3400938768794;3400937420969;3400939741451;3400939830261;3400938367102;3400939683638;3400937420440;3400937420389;3400939374925;3400949899760;3400937514972;3400939831503;3400939833514;3400938772937;3400939375236;3400939329680;3400937514514;3400938366501;3400938769807;3400939740911;3400939833804;3400949882731;3400939831961;3400937420730;3400939329161;3400938771756;3400939829890;3400938073065;3400939330402;3400939331003;3400939828312;3400938073355;3400939829203;3400934169717;3400939828022;3400939683119;3400938768794;3400937420969;3400939741451;3400939830261;3400938367102;3400939683638;3400937420440;3400937420389;3400939374925;3400949899760;3400937514972;3400939831503;3400939833514;3400938772937;3400939375236;3400939329680;3400937514514;3400938366501;3400938769807;3400939740911;3400939833804;3400949882731;3400939831961;3400939396347;3400939397818;3400939397177;3400939397757;3400939397986;3400939396637;3400939397528;3400939397696
NEFOPAM	3400932421756;3400935876553
NETILMICINE	3400932452453;3400932452514;3400932452682;3400932452743
NEVIRAPINE	3400939412986;3400927610806;3400934611445;3400922439655;3400921898989
NICARDIPINE	3400937196482;3400932781737;3400932782048;3400932955107
NICORANDIL	3400921611731;3400941715143;3400921610840;3400937803694;3400941703546;3400941715372;3400933548278;3400937803526;3400933548568;3400933548100;3400937427944;3400941688195;3400933548339
NIFEDIPINE	3400937150187;3400932999620;3400937149938;3400933306083;3400932234790;3400937465625;3400936143753;3400932740284;3400934568701;3400932234851;3400933305833;3400933995287;3400935780478;3400937289955;3400937610827;3400933995348;3400936892033;3400934748790;3400937611367;3400937196833;3400937382908;3400932740116;3400937300353;3400937701938;3400937238748;3400936891661;3400933306083;3400932234790;3400937465625;3400936143753;3400932740284;3400934568701;3400932234851;3400933305833;3400933995287;3400935780478;3400937289955;3400937610827;3400933995348;3400936892033;3400934748790;3400937611367;3400937196833;3400937382908;3400932740116;3400937300353;3400937701938;3400937238748;3400936891661
NILOTINIB	3400938278699;3400921687552;3400949815845;3400949815906;3400938278811;3400921687613
NIMESULIDE	3400933928513;3400937414067;3400933928681;3400938954869;3400938537208
NIMODIPINE	3400936572614
NITRAZEPAM	3400935539694
